id,nome_completo,nome_urna,partido_atual,cargo_atual,uf_sede,promessas_campanha,redes_sociais,foto_url,data_atualizacao,id_externo_api,fonte_api,casa_legislativa,foto_status
02e8a9e7-3ab5-42af-ae9e-8264a85c7ecc,Roberto Duarte,Roberto Duarte,REPUBLICANOS,Deputado Federal,AC,,,https://www.camara.leg.br/internet/deputado/bandep/220588.jpg,2026-02-14 18:21:12.785+00,CAMARA-BR-220588,Sincronização Lote 2026,Câmara,ok
02ea9e9a-66b4-4338-b482-70e6e07a7c83,Duda Ramos,Duda Ramos,MDB,Deputado Federal,RR,,,https://www.camara.leg.br/internet/deputado/bandep/220540.jpg,2026-02-14 18:20:56.632+00,CAMARA-BR-220540,Sincronização Lote 2026,Câmara,ok
0309c0f3-f9c5-412c-8564-fd8535039947,Marcel van Hattem,Marcel van Hattem,NOVO,Deputado Federal,RS,,,https://www.camara.leg.br/internet/deputado/bandep/156190.jpg,2026-02-14 18:21:06.354+00,CAMARA-BR-156190,Sincronização Lote 2026,Câmara,ok
0337c034-9aaa-4fa3-a02e-99d7dd4e99d5,Pompeo de Mattos,Pompeo de Mattos,PDT,Deputado Federal,RS,,,https://www.camara.leg.br/internet/deputado/bandep/73486.jpg,2026-02-14 18:21:10.869+00,CAMARA-BR-73486,Sincronização Lote 2026,Câmara,ok
034c2bde-2996-4611-9182-c45a4e1334c6,Mersinho Lucena,Mersinho Lucena,PP,Deputado Federal,PB,,,https://www.camara.leg.br/internet/deputado/bandep/220585.jpg,2026-02-14 18:21:08.302+00,CAMARA-BR-220585,Sincronização Lote 2026,Câmara,ok
0497ab05-cf48-4bab-978b-7f8906afd0b2,André Ferreira,André Ferreira,PL,Deputado Federal,PE,,,https://www.camara.leg.br/internet/deputado/bandep/204423.jpg,2026-02-14 18:20:50.504+00,CAMARA-BR-204423,Sincronização Lote 2026,Câmara,ok
04f61357-b648-4b90-805c-04a52dd745b0,Ibaneis Rocha,Ibaneis Rocha,MDB,Governador,DF,,,https://www.df.gov.br/ibaneis.jpg,2026-02-01 17:07:40.412+00,GOV-BR-DF,Sincronização Integridade 2026,,nao_verificado
052329b4-3a4f-48a2-a863-e74d6249faf7,Jorge Braz,Jorge Braz,REPUBLICANOS,Deputado Federal,RJ,,,https://www.camara.leg.br/internet/deputado/bandep/205550.jpg,2026-02-14 18:21:02.235+00,CAMARA-BR-205550,Sincronização Lote 2026,Câmara,ok
05673779-77bb-4daf-a6e4-03a4d273441a,Fernando Monteiro,Fernando Monteiro,PSD,Deputado Federal,PE,,,https://www.camara.leg.br/internet/deputado/bandep/92699.jpg,2026-02-14 18:20:58.854+00,CAMARA-BR-92699,Sincronização Lote 2026,Câmara,ok
05c3bf25-d511-4750-ab85-cf39ae23f86b,Natália Bonavides,Natália Bonavides,PT,Deputado Federal,RN,,,https://www.camara.leg.br/internet/deputado/bandep/204453.jpg,2026-02-14 18:21:08.582+00,CAMARA-BR-204453,Sincronização Lote 2026,Câmara,ok
