id,agente_id,ano,mes,tipo_despesa,categoria_normalizada,fornecedor_nome,fornecedor_cnpj_cpf,valor_liquido,data_emissao,id_externo_documento,url_documento,casa_legislativa,data_insercao
0005d4b1-77c4-468f-85ea-ae0840c04539,dd6bdc98-37df-406b-b868-e6df4ec166fc,2026,1,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,POSTO SAO BENEDITO PETROLEO LTDA,,230.02,2026-01-13,188097-0.9935708318142653,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8040659,Câmara,2026-02-15 21:28:03.915045+00
000654bc-a605-4219-8b82-abce196de359,aac229da-211a-4521-9e78-418cddc8da98,2026,2,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,AUTO POSTO MODELO LTDA,,262.05,2026-02-02,160538-0.2985137046484655,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8049491,Câmara,2026-02-15 21:26:23.852405+00
00068b0d-d1ed-4aa4-ba06-346b54e6751f,30d33402-d2e0-4a27-8449-42c788325bfd,2026,1,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,PARADA MODELO COMERCIO E IND. LTDA,,219.46,2026-01-31,220612-0.7767418484488456,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8045155,Câmara,2026-02-15 21:26:19.909397+00
0007425e-b8b7-4f2a-83c4-81a6f0013563,3af70247-6a22-472a-b92c-4be751bf6eec,2026,1,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,AUTO POSTO GASPAR LOPES LTDA,,222.01,2026-01-03,160599-0.25295651636050787,https://www.camara.leg.br/cota-parlamentar/documentos/publ/2356/2026/8040231.pdf,Câmara,2026-02-15 21:26:47.459892+00
000a187e-32a2-4c60-867f-b61e49e8e9fc,51da3666-3615-490a-8c5c-a4705d2bd684,2026,2,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,AUTO POSTO REDECK LTDA,,211.40,2026-02-08,210989-0.679717754541438,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3624/2026/8049122.pdf,Câmara,2026-02-15 21:26:24.229333+00
000acf01-6ab5-4d26-af5f-600dbe507cde,345cc542-9d35-46e2-a46b-26e46e4413f9,2026,1,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Outros Operacionais,Camila Machado,,2900.00,2026-02-02,204409-0.15758906566463948,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3328/2026/8047164.pdf,Câmara,2026-02-15 21:26:39.758232+00
001bc203-fa3b-404e-a1bc-684e82125403,,2026,1,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,034 - LC ALAMEDA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,,198.71,2026-01-27,220659-0.7981193575004589,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8042730,Câmara,2026-02-15 21:26:41.335115+00
0022b8ee-7118-4f14-8fd8-c709ef86190b,b647d4c0-6148-4093-9c5a-91fc45d268f7,2026,1,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,RZT COMERCIO DE COMBUSTIVEIS LTDA.,,301.56,2026-01-28,204365-0.4867768890443702,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8045120,Câmara,2026-02-15 21:27:16.392808+00
002329fd-2a5c-4c6c-86f7-bb8d5ab77318,fa909b3a-ed18-489a-b88f-e7298276bc13,2026,2,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,JET 7 POSTOS E SERVIÇOS LTDA,,1648.01,2026-02-02,178989-0.24383227279885644,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3081/2026/8044287.pdf,Câmara,2026-02-15 21:28:29.221876+00
0023e4bd-1df0-42de-9d4e-c46ace5ddc81,85adba2c-f83d-4fea-958b-f0987a986f19,2026,1,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,Outros Operacionais,BROAD BRASIL LTDA,,1050.00,2026-01-21,220657-0.3877320834910879,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3525/2026/8047867.pdf,Câmara,2026-02-15 21:26:13.568822+00
002ab9f2-6286-44f3-a918-1a174b609046,7c0a2ad6-6b8d-46a2-9a20-4358c1bcf2cf,2026,1,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,ITABERABA COMERCIO DE COMBUSTIVEIS LTDA,,200.10,2026-01-20,150418-0.9348340351936467,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8044112,Câmara,2026-02-15 21:27:54.816096+00
004519c8-e1e9-4ba5-9e5e-051244ca956f,ff7b5f29-b61f-40c9-bfd2-b834cae9e1f2,2026,1,COMBUSTÍVEIS E LUBRIFICANTES.,Transporte e Mobilidade,AUTO POSTO RTC LTDA,,100.00,2026-01-31,231911-0.5864924961686471,http://www.camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=8045086,Câmara,2026-02-15 21:27:40.107489+00
